,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,buraydah,26.326,43.975,25,31,0,2.57,SA,1619761978
1,rabo de peixe,37.8,-25.5833,13,88,75,2.06,PT,1619761978
2,carnarvon,-24.8667,113.6333,25,69,40,9.77,AU,1619761979
3,taolanaro,55.7435,-97.8558,-6,73,40,3.13,CA,1619761980
4,thompson,42.6001,-73.9662,13.33,84,100,0.89,US,1619761923
5,albany,41.7057,-70.2286,14.44,100,90,5.14,US,1619761980
6,yarmouth,-7.95,110.2833,28.82,72,87,3.96,ID,1619761981
7,bambanglipuro,-18.0607,13.84,19,52,53,1.49,NA,1619761981
8,opuwo,37.5683,126.9778,14,67,75,3.09,KR,1619761853
9,seoul,4.8699,-2.2405,26.29,82,98,0.77,GH,1619761982
10,axim,62.456,-114.3525,-1,59,75,5.14,CA,1619761906
11,yellowknife,3.0707,172.7902,28.81,72,99,4.6,KI,1619761983
12,butaritari,-26.8241,-65.2226,14,88,0,2.57,AR,1619761983
13,tucuman,-46.1333,167.6833,10.56,77,57,2.68,NZ,1619761984
14,sentyabrskiy,-33.65,115.3333,16.67,74,53,0.45,AU,1619761984
15,tuatapere,20.5022,-10.0711,22.88,43,9,3.45,MR,1619761985
16,busselton,69.3,139.9,-3.89,86,100,1.81,RU,1619761985
17,vaitupu,78.2186,15.6401,-6,58,75,4.12,SJ,1619761986
18,adrar,29.9697,40.2064,25,14,0,2.57,SA,1619761986
19,deputatskiy,24.7,-77.7667,25,78,75,5.66,BS,1619761987
20,longyearbyen,67.667,12.6934,2,80,40,10.29,NO,1619761987
21,sakakah,32.6667,-17.1,12.78,71,45,0.89,PT,1619761988
22,andros town,-9.8,-139.0333,26.25,70,7,2.08,PF,1619761715
23,sorland,-0.7393,-90.3518,23.85,84,56,3.62,EC,1619761988
24,ponta do sol,4.4148,114.0089,31,74,40,3.09,MY,1619761989
25,atuona,-54.8,-68.3,4,75,90,0.99,AR,1619761989
26,puerto ayora,59.3833,143.3,4.18,77,96,2.19,RU,1619761990
27,miri,69.4541,-133.0374,-6,86,1,5.66,CA,1619761990
