,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,-14.93,97,86,4.32,RU,1619818936
1,assiniboia,49.6334,-105.9845,25,14,100,9.77,CA,1619819102
2,jamestown,42.097,-79.2353,6.11,56,90,12.35,US,1619819105
3,tutoia,-2.7619,-42.2744,25.57,86,91,2.86,BR,1619819107
4,karratha,-20.7377,116.8463,26.47,43,4,2.5,AU,1619819110
5,vaini,-21.2,-175.2,25,88,75,5.14,TO,1619819036
6,hofn,64.2539,-15.2082,2.54,78,100,5.81,IS,1619818755
7,tucuman,-26.8241,-65.2226,25,53,20,1.54,AR,1619819116
8,nagato,34.3833,131.2,15,67,75,11.32,JP,1619819119
9,east london,-33.0153,27.9116,17.06,76,88,6.59,ZA,1619819005
10,lebu,-37.6167,-73.65,13.43,90,100,9.22,CL,1619819124
11,khani,41.9563,42.9566,11,93,0,1.54,GE,1619819126
12,ushuaia,-54.8,-68.3,4,93,75,2.06,AR,1619818617
13,saint-pierre,-21.3393,55.4781,24,78,75,2.06,RE,1619819131
14,codrington,-38.2667,141.9667,14.96,48,100,4.68,AU,1619819059
15,kaitangata,-46.2817,169.8464,10.56,74,66,1.34,NZ,1619819135
16,shetpe,44.1667,52.1167,16.87,32,66,3.34,KZ,1619819138
17,lasa,46.6166,10.7002,16,87,40,2.57,IT,1619819140
18,plettenberg bay,-34.0527,23.3716,13.25,75,0,2.07,ZA,1619819143
19,new norfolk,-42.7826,147.0587,9.44,81,71,1.31,AU,1619818750
20,hilo,19.7297,-155.09,29,51,1,4.12,US,1619819023
21,grand gaube,-20.0064,57.6608,25.56,78,24,3.58,MU,1619819150
22,aqtobe,50.2797,57.2072,2,87,0,2,KZ,1619819152
23,rikitea,-23.1203,-134.9692,26,77,88,9.24,PF,1619818706
24,eden,36.4885,-79.7667,25,20,1,5.66,US,1619818884
25,port alfred,-33.5906,26.891,15.99,82,35,6.52,ZA,1619818923
26,castro,-24.7911,-50.0119,12.39,87,28,3.32,BR,1619819161
27,mataura,-46.1927,168.8643,6.67,92,81,2.24,NZ,1619819006
28,hobart,-42.8794,147.3294,9.44,81,75,4.63,AU,1619819166
29,sorland,67.667,12.6934,2.12,60,100,7,NO,1619819168
30,pirae,-17.5167,-149.5333,30,70,75,1.54,PF,1619819171
31,ise,34.4833,136.7,13.89,88,11,0.45,JP,1619819173
32,puerto colombia,10.9878,-74.9547,28,78,40,3.6,CO,1619819176
33,mbour,14.422,-16.9638,21,78,0,6.69,SN,1619819178
34,cape town,-33.9258,18.4232,14.44,77,0,4.12,ZA,1619818536
35,busselton,-33.65,115.3333,10.56,98,99,0.45,AU,1619819183
36,namibe,-15.1961,12.1522,24.32,74,16,0.75,AO,1619818995
37,rancho palos verdes,33.7445,-118.387,24.44,53,20,8.23,US,1619819100
38,albany,42.6001,-73.9662,11.11,62,84,9.68,US,1619818676
39,punta arenas,-53.15,-70.9167,6,93,90,3.09,CL,1619818554
40,barentsburg,-20.5167,57.5167,25,83,40,5.14,MU,1619818955
41,souillac,51.1,114.53,1,76,10,2.41,RU,1619819199
42,aginskoye,37.2687,28.2167,17,59,0,2.57,TR,1619819201
43,bayir,62.1564,-7.1664,2,93,40,1.54,FO,1619819203
44,vestmanna,51.5877,-2.9984,7.78,83,92,2.31,GB,1619819153
45,newport,36.6177,-121.9166,13.89,84,98,1.34,US,1619819054
46,pacific grove,-34.5322,20.0403,7,81,0,0.87,ZA,1619818754
47,bredasdorp,-21.3585,55.7679,24,78,75,2.06,RE,1619818967
48,saint-philippe,60.7333,77.5889,3,87,75,2,RU,1619819050
49,strezhevoy,-21.2078,-159.775,28,74,75,2.57,CK,1619819219
50,belushya guba,25.2867,51.5333,28,57,0,3.6,QA,1619819084
51,avarua,3.7899,101.857,22.7,97,99,0.39,MY,1619819224
52,doha,5.3505,48.5268,28.79,68,15,4.69,SO,1619819229
53,raub,63.4427,-20.2734,4.47,86,98,4.09,IS,1619818963
54,umzimvubu,59.7035,30.7861,2,75,0,2,RU,1619819028
55,hobyo,-0.7393,-90.3518,29,61,20,6.69,EC,1619818755
56,vestmannaeyjar,62.456,-114.3525,1.67,80,90,6.17,CA,1619819238
57,nikolskoye,49.7834,-74.8492,13,47,90,7.72,CA,1619819241
58,puerto ayora,-6.9811,-34.8339,26,83,20,2.57,BR,1619819212
59,yellowknife,-46.6,168.3333,6.67,93,99,1.79,NZ,1619818747
60,chapais,-6.2132,155.5367,27.72,79,66,0.64,PG,1619819250
61,cabedelo,3.0833,-59.95,31,62,20,6.17,BR,1619819252
62,sinjah,40.2039,140.0242,9.09,70,56,1.55,JP,1619819255
63,bluff,38.2545,-104.6091,28.33,13,1,1.54,US,1619819257
64,arawa,-33.918,25.5701,15,58,40,5.66,ZA,1619819024
65,bonfim,21.3469,-158.0858,28,54,90,3.6,US,1619819201
66,noshiro,57.79,-152.4072,10,37,1,4.63,US,1619818584
67,pueblo,27.4253,-82.5904,28.33,57,1,5.66,US,1619819266
68,port elizabeth,-24.8667,113.6333,18,55,70,4.63,AU,1619819269
69,makakilo city,-6.2167,155.6333,27.82,77,54,1.29,PG,1619819085
70,kodiak,72.7868,-56.1549,-0.27,81,100,2.58,GL,1619819273
71,bayshore gardens,31.2089,16.5887,30.64,18,20,7.7,LY,1619819276
72,carnarvon,71.9667,102.5,-0.61,92,100,3.55,RU,1619819089
73,kieta,-25.1667,46.0833,20.54,73,65,2.17,MG,1619819281
74,upernavik,-15.2261,-59.3353,22.19,68,3,1.26,BR,1619819283
75,surt,-27.4144,-49.6025,18.33,92,0,1.3,BR,1619819288
